,word,urú,prefix,suffix
0,shainiúla,,,a
1,comhordaithe,,comh,aithe
2,heasportálfar,h,eas,far
3,gcríochnaithe,g,,aithe
4,Labhraíonn,,,aíonn
5,Marcanna,,,anna
6,chinnfidh,,,fidh
7,ionsaí,,ion,aí
8,Dhroim,,,im
9,Luasghéarú,,,ú
10,Cluichí,,,í
11,Bainim,,,im
12,tuairisceora,t,,ra
13,Aigéine,,,ne
14,deanfar,,dea,far
15,zirconia,,,ia
16,eornan,,eo,an
17,imoibrí,,im,í
18,grudge,,,e
19,Coscáin,,,in
20,fuascailtear,,,ear
21,gheobhaidh,,,aidh
22,dhéanfaí,,,aí
23,Durlainne,,,ne
24,Leabú,,,ú
25,n-seomra,,,ra
26,réamhíocaíochtaí,,réamh,taí
27,Atáirgeadh,,,eadh
28,toirteanna,t,,eanna
29,coibhéisí,,,í
30,drámaíocht,,,aíocht
31,n-iomlán,n-,,án
32,mBíobla,m,,a
33,mheicneora,,,ra
34,iarmhéide,,iar,e
35,radacaí,,rada,aí
36,rátíocóirí,,,í
37,buillí,,,í
38,thochailtí,,,tí
39,Ainmniúcháin,,,in
40,ceannasaithe,,ceann,aithe
41,fhionnadh,,,adh
42,foircneach,,fo,each
43,féachfar,,,far
44,Imríonn,,,íonn
45,ndídine,n,dí,ne
46,d'infhaighteacht,d',in,eacht
47,aontacht,,aon,tacht
48,T-léine,,,ne
49,dóchais,,dó,ais
50,easaontacht,,eas,tacht
51,chlóbhuala,,,a
52,ndáileadh,n,dá,eadh
53,íoslaigh,,íos,aigh
54,62ú,,,ú
55,Chiarraí,,,aí
56,chósta,,,ta
57,grádán,,,án
58,luíodófar,,,ófar
59,Thalamh,,,amh
60,Dhíolann,,,lann
61,dhíoltar,,,tar
62,íoróin,,,in
63,hOifigeach,h,,each
64,ard-infheicthe,,ard,the
65,cóipeanna,,,eanna
66,neamhéifeachtúlacht,,neamh,acht
67,gnáth-chomhaltaí,,gnáth,taí
68,Comisinéir,,,éir
69,ghnáthuaireanta,,,ta
70,bunuitheoir,,bun,eoir
71,Beartais,,,ais
72,shábháilteacht,,,eacht
